,Number,Dn,Ur,HeaderCount,ListsCount
0,0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen,4.0,31.0
1,1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html,10.0,17.0
2,2,bouwbestel.nl,https://www.bouwbestel.nl/bouwmaterialen.html,2.0,7.0
3,3,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/,3.0,31.0
4,4,bmn.nl,https://www.bmn.nl/,3.0,12.0
5,5,bouwonline.com,https://www.bouwonline.com/,7.0,7.0
6,6,bol.com,https://www.bol.com/nl/m/bouwmaterialen/,0.0,0.0
7,7,pontmeyer.nl,https://www.pontmeyer.nl/,4.0,1.0
8,8,bouwmaterialenkopen.com,https://www.bouwmaterialenkopen.com/,8.0,3.0
9,9,debouwmarktshop.nl,https://www.debouwmarktshop.nl/,3.0,9.0
10,10,huisman.nl,https://www.huisman.nl/bouwmaterialen/,1.0,7.0
11,11,sleiderink.nl,https://www.sleiderink.nl/bouwmaterialen,6.0,39.0
12,12,houtenbouwmaterialen.nl,https://www.houtenbouwmaterialen.nl/bouwmaterialen,6.0,7.0
13,13,raabkarcher.nl,https://www.raabkarcher.nl/bouwmaterialen,3.0,15.0
14,14,karwei.nl,https://www.karwei.nl/assortiment/k/bouwmaterialen,5.0,52.0
15,15,stmiddelkoop.nl,https://www.stmiddelkoop.nl/bouwmaterialen/,3.0,14.0
16,16,gamma.nl,https://www.gamma.nl/assortiment/k/bouwmaterialen,5.0,38.0
17,17,verdouw.nu,https://www.verdouw.nu/,1.0,10.0
18,18,bouwpartner.com,https://www.bouwpartner.com/,3.0,7.0
19,19,wikipedia.org,https://nl.wikipedia.org/wiki/Bouwmateriaal,6.0,20.0
20,20,bakkerdehouthandel.nl,https://www.bakkerdehouthandel.nl/blog/bouwmaterialen/,1.0,8.0
21,21,bouwmaterialen-nederland.nl,http://www.bouwmaterialen-nederland.nl/,6.0,11.0
22,22,makroshop.be,https://www.makroshop.be/nl/bouwen-en-gereedschappen/bouwmaterialen,6.0,7.0
23,23,praxis.nl,https://www.praxis.nl/bouwmaterialen/b1/,4.0,17.0
24,24,oke-bouwmaterialen.nl,https://www.oke-bouwmaterialen.nl/,6.0,7.0
25,25,joostdevree.nl,https://www.joostdevree.nl/shtmls/bouwmaterialen.shtml,0.0,0.0
26,26,hout-en-bouwmaterialen.nl,http://www.hout-en-bouwmaterialen.nl/,2.0,7.0
27,27,limtrade.nl,https://www.limtrade.nl/af-bouw/bouwmaterialen,2.0,14.0
28,28,bouwcenter.nl,https://www.bouwcenter.nl/driessen/bouwmaterialen/,5.0,5.0
29,29,gebruiktebouwmaterialen.com,https://gebruiktebouwmaterialen.com/,8.0,7.0
30,30,nelemans.nl,https://www.nelemans.nl/bouwcenter/bouwmaterialen/,3.0,8.0
31,31,bouwhof.nl,https://www.bouwhof.nl/bouw/bouwmaterialen/,2.0,33.0
32,32,houthandelonline.nl,https://www.houthandelonline.nl/bouwmaterialen,4.0,15.0
33,33,wienerberger.nl,https://www.wienerberger.nl/verkooppunten/bouwmaterialen.html,5.0,13.0
34,34,flexbouwmateriaal.nl,https://www.flexbouwmateriaal.nl/,2.0,7.0
35,35,crijnsbouwmaterialen.nl,https://www.crijnsbouwmaterialen.nl/nl/bouwmaterialen-kopen,4.0,15.0
36,36,3mnederland.nl,https://www.3mnederland.nl/3M/nl_NL/p/c/bouwmaterialen/,,
37,37,breukers.nl,https://www.breukers.nl/bouwmaterialen,2.0,9.0
38,38,bouwmaterialenzeeland.nl,https://www.bouwmaterialenzeeland.nl/,1.0,0.0
39,39,ggoedkoop.nl,https://www.ggoedkoop.nl/,6.0,9.0
40,40,eco-bouwmaterialen.nl,https://www.eco-bouwmaterialen.nl/,5.0,7.0
41,41,witzand.nl,https://www.witzand.nl/,8.0,2.0
42,42,groenebouwmaterialen.nl,https://www.groenebouwmaterialen.nl/,5.0,12.0
43,43,hormes.nl,https://www.hormes.nl/bouwmaterialen/,3.0,11.0
44,44,vidaxl.nl,https://www.vidaxl.nl/g/115/bouwmaterialen,5.0,3.0
45,45,marktplaats.nl,https://www.marktplaats.nl/u/2e-hands-bouwmaterialen/20098676/,4.0,3.0
46,46,bouwbink.nl,https://www.bouwbink.nl/bouwmaterialen,4.0,7.0
47,47,veldhovense.nl,https://www.veldhovense.nl/,5.0,7.0
48,48,boer-staphorst.nl,https://www.boer-staphorst.nl/klussen-bouwen/bouwmaterialen,4.0,4.0
49,49,houthandelvangelder.nl,https://www.houthandelvangelder.nl/bouwmaterialen/,3.0,5.0
